CSTRAT,ELAB,MEMO,READING,ESCS,GENDER,IMMIGR
0.7826,-0.2743,0.395,602.85,1.4235,1,0
-0.2945,0.3277,0.1036,414.18,-0.4419,1,0
0.7826,0.0385,0.9843,510.78,-1.0494,1,1
-0.2945,-0.2743,0.6832,547.32,-0.8923,1,0
-0.5485,-2.4098,0.9843,480.04,-1.2617,1,0
9999,9999,9999,231.71,-0.6738,1,0
1.1341,-0.6208,1.3297,458.11,-0.3096,1,0
0.2159,0.3277,1.3297,516.18,1.1931,1,0
-0.0411,-0.2743,0.395,580.77,-0.1531,1,0
0.4861,-1.5227,0.1036,660.13,1.1333,1,0
2.504,2.7571,2.6934,516.26,0.1663,1,0
-0.5485,-0.2743,-1.9702,356.23,0.1473,0,0
-0.2945,-0.6208,-0.2055,454.36,0.9531,0,0
0.2159,-1.0185,0.1036,514.64,-1.1957,0,1
1.6056,0.0385,-0.9276,564.35,0.6588,0,0
0.4861,0.8778,0.9843,374.59,-2.4095,0,1
-0.2945,-0.6208,0.6832,467.59,-0.3319,0,0
-0.8077,-1.5227,-0.9276,414.51,-0.5736,0,1
0.4861,0.3277,0.395,488.83,-0.2135,0,0
1.6056,0.6034,0.6832,509.99,-0.0748,0,0
-0.2945,-1.0185,-0.5436,477.29,-1.6759,0,1
2.504,1.4986,0.395,557.37,1.3149,0,0
-3.4531,-2.4098,-3.0191,511.28,0.9016,0,0
0.7826,1.1676,1.3297,506.15,-0.4977,0,0
-0.0411,-0.2743,-0.9276,652.74,2.3898,1,0
0.7826,-1.5227,-0.2055,662.27,2.4426,1,0
-0.2945,-0.6208,0.6832,594.67,0.902,1,0
0.7826,0.3277,0.1036,624.22,1.2624,1,0
-0.2945,0.0385,-0.5436,600.55,0.9484,1,0
-1.0786,-0.6208,-0.5436,533.02,0.8796,1,0
-0.5485,-0.2743,-0.0276,637.33,0.9284,1,0
0.4861,0.8778,1.7893,609.76,1.5264,1,1
2.504,0.8778,-0.2055,687.14,0.9453,1,0
2.504,1.4986,1.3297,635.5,0.7372,1,0
-0.5485,1.1676,-0.2055,626.92,1.3971,1,0
-0.5485,-1.5227,-0.5436,698.82,-0.6212,1,0
0.2159,-0.2743,-0.5436,511.89,-0.5048,1,9999
0.2159,-1.0185,-0.2055,607.14,0.8133,1,1
1.6056,0.6034,-0.5436,676.1,1.2459,1,0
-0.0411,-2.4098,-0.5436,624.94,1.2885,1,0
-0.0411,0.8778,0.1036,468.87,0.7394,0,0
-0.0411,-1.5227,-0.2055,647.24,1.021,0,0
0.4861,0.3277,0.395,558.17,0.3247,0,0
0.2159,0.3277,0.6832,501.9,0.7634,0,0
-0.0411,-0.6208,-0.2055,552.96,0.4109,0,0
0.4861,0.8778,-0.5436,593.77,0.6852,0,0
-0.0411,-2.4098,-1.9702,613.81,-0.8547,0,0
0.2159,-0.6208,0.9843,456.36,1.1332,0,0
-0.2945,-0.2743,-0.2055,497.09,1.4796,0,0
1.6056,0.6034,0.6832,565.39,0.0786,0,1
0.4861,-0.2743,-0.5436,609.8,1.1568,0,0
0.2159,-0.2743,0.1036,555.45,1.2374,0,0
1.1341,0.3277,-0.9276,649.97,1.6116,0,0
2.504,0.6034,-0.2055,571.56,1.0012,0,0
-1.0786,-1.5227,0.395,544.23,1.7964,0,0
1.1341,0.8778,0.1036,493.38,-0.4447,1,0
-0.2945,-1.0185,-1.3817,506.17,0.8861,1,0
-1.0786,-1.5227,-3.0191,663.07,0.3962,1,0
0.2159,0.0385,0.1036,501.96,-0.2297,1,0
-0.2945,0.3277,0.1036,450.09,-0.1324,1,0
-0.5485,-1.5227,-0.2055,525.72,-1.0216,1,0
0.7826,0.3277,0.3684,604.76,-0.7428,1,0
2.504,0.8778,0.6832,625.97,1.5297,1,0
1.1341,-0.6208,0.1036,567.98,0.1663,1,0
0.2159,0.3277,-0.5436,545.97,-0.5992,1,0
-0.0411,1.1676,-0.2055,524.44,0.6318,1,0
0.4861,0.6034,0.395,543.27,0.053,1,0
-0.5485,-1.5227,0.1036,646.38,0.6852,1,0
1.1341,0.6034,-0.2055,639,-0.6283,1,0
0.4861,-0.2743,0.395,448.5,1.1822,1,0
-1.3664,-0.6208,-0.5436,462.56,0.8763,1,0
0.7826,-1.0185,-0.9276,541.76,-0.4686,1,0
0.4861,0.6034,-0.5436,510.78,1.2093,1,0
1.6056,1.4986,0.6832,558.29,0.2881,1,0
0.2159,0.3277,0.395,593.16,-0.2116,1,0
-0.8077,-1.0185,-1.3817,563.13,-0.5225,1,0
0.7826,0.0385,-0.9276,569.33,-0.2162,1,0
-1.0786,0.0385,-0.5436,547.64,-1.6011,1,0
